"lon","lat","id"
-117,32.5,"32.5N_117W"
-116.5,32.5,"32.5N_116.5W"
-116,32.5,"32.5N_116W"
-115.5,32.5,"32.5N_115.5W"
-115,32.5,"32.5N_115W"
-114.5,32.5,"32.5N_114.5W"
-119.5,33,"33N_119.5W"
-118.5,33,"33N_118.5W"
-117.5,33,"33N_117.5W"
-117,33,"33N_117W"
-116.5,33,"33N_116.5W"
-116,33,"33N_116W"
-115.5,33,"33N_115.5W"
-115,33,"33N_115W"
-114.5,33,"33N_114.5W"
-119.5,33.5,"33.5N_119.5W"
-119,33.5,"33.5N_119W"
-118.5,33.5,"33.5N_118.5W"
-118,33.5,"33.5N_118W"
-117.5,33.5,"33.5N_117.5W"
-117,33.5,"33.5N_117W"
-116.5,33.5,"33.5N_116.5W"
-116,33.5,"33.5N_116W"
-115.5,33.5,"33.5N_115.5W"
-115,33.5,"33.5N_115W"
-114.5,33.5,"33.5N_114.5W"
-120.5,34,"34N_120.5W"
-120,34,"34N_120W"
-119.5,34,"34N_119.5W"
-119,34,"34N_119W"
-118.5,34,"34N_118.5W"
-118,34,"34N_118W"
-117.5,34,"34N_117.5W"
-117,34,"34N_117W"
-116.5,34,"34N_116.5W"
-116,34,"34N_116W"
-115.5,34,"34N_115.5W"
-115,34,"34N_115W"
-114.5,34,"34N_114.5W"
-120.5,34.5,"34.5N_120.5W"
-120,34.5,"34.5N_120W"
-119.5,34.5,"34.5N_119.5W"
-119,34.5,"34.5N_119W"
-118.5,34.5,"34.5N_118.5W"
-118,34.5,"34.5N_118W"
-117.5,34.5,"34.5N_117.5W"
-117,34.5,"34.5N_117W"
-116.5,34.5,"34.5N_116.5W"
-116,34.5,"34.5N_116W"
-115.5,34.5,"34.5N_115.5W"
-115,34.5,"34.5N_115W"
-114.5,34.5,"34.5N_114.5W"
-114,34.5,"34.5N_114W"
-121,35,"35N_121W"
-120.5,35,"35N_120.5W"
-120,35,"35N_120W"
-119.5,35,"35N_119.5W"
-119,35,"35N_119W"
-118.5,35,"35N_118.5W"
-118,35,"35N_118W"
-117.5,35,"35N_117.5W"
-117,35,"35N_117W"
-116.5,35,"35N_116.5W"
-116,35,"35N_116W"
-115.5,35,"35N_115.5W"
-115,35,"35N_115W"
-114.5,35,"35N_114.5W"
-121.5,35.5,"35.5N_121.5W"
-121,35.5,"35.5N_121W"
-120.5,35.5,"35.5N_120.5W"
-120,35.5,"35.5N_120W"
-119.5,35.5,"35.5N_119.5W"
-119,35.5,"35.5N_119W"
-118.5,35.5,"35.5N_118.5W"
-118,35.5,"35.5N_118W"
-117.5,35.5,"35.5N_117.5W"
-117,35.5,"35.5N_117W"
-116.5,35.5,"35.5N_116.5W"
-116,35.5,"35.5N_116W"
-115.5,35.5,"35.5N_115.5W"
-115,35.5,"35.5N_115W"
-121.5,36,"36N_121.5W"
-121,36,"36N_121W"
-120.5,36,"36N_120.5W"
-120,36,"36N_120W"
-119.5,36,"36N_119.5W"
-119,36,"36N_119W"
-118.5,36,"36N_118.5W"
-118,36,"36N_118W"
-117.5,36,"36N_117.5W"
-117,36,"36N_117W"
-116.5,36,"36N_116.5W"
-116,36,"36N_116W"
-115.5,36,"36N_115.5W"
-122,36.5,"36.5N_122W"
-121.5,36.5,"36.5N_121.5W"
-121,36.5,"36.5N_121W"
-120.5,36.5,"36.5N_120.5W"
-120,36.5,"36.5N_120W"
-119.5,36.5,"36.5N_119.5W"
-119,36.5,"36.5N_119W"
-118.5,36.5,"36.5N_118.5W"
-118,36.5,"36.5N_118W"
-117.5,36.5,"36.5N_117.5W"
-117,36.5,"36.5N_117W"
-116.5,36.5,"36.5N_116.5W"
-122.5,37,"37N_122.5W"
-122,37,"37N_122W"
-121.5,37,"37N_121.5W"
-121,37,"37N_121W"
-120.5,37,"37N_120.5W"
-120,37,"37N_120W"
-119.5,37,"37N_119.5W"
-119,37,"37N_119W"
-118.5,37,"37N_118.5W"
-118,37,"37N_118W"
-117.5,37,"37N_117.5W"
-117,37,"37N_117W"
-123,37.5,"37.5N_123W"
-122.5,37.5,"37.5N_122.5W"
-122,37.5,"37.5N_122W"
-121.5,37.5,"37.5N_121.5W"
-121,37.5,"37.5N_121W"
-120.5,37.5,"37.5N_120.5W"
-120,37.5,"37.5N_120W"
-119.5,37.5,"37.5N_119.5W"
-119,37.5,"37.5N_119W"
-118.5,37.5,"37.5N_118.5W"
-118,37.5,"37.5N_118W"
-117.5,37.5,"37.5N_117.5W"
-123,38,"38N_123W"
-122.5,38,"38N_122.5W"
-122,38,"38N_122W"
-121.5,38,"38N_121.5W"
-121,38,"38N_121W"
-120.5,38,"38N_120.5W"
-120,38,"38N_120W"
-119.5,38,"38N_119.5W"
-119,38,"38N_119W"
-118.5,38,"38N_118.5W"
-123.5,38.5,"38.5N_123.5W"
-123,38.5,"38.5N_123W"
-122.5,38.5,"38.5N_122.5W"
-122,38.5,"38.5N_122W"
-121.5,38.5,"38.5N_121.5W"
-121,38.5,"38.5N_121W"
-120.5,38.5,"38.5N_120.5W"
-120,38.5,"38.5N_120W"
-119.5,38.5,"38.5N_119.5W"
-119,38.5,"38.5N_119W"
-124,39,"39N_124W"
-123.5,39,"39N_123.5W"
-123,39,"39N_123W"
-122.5,39,"39N_122.5W"
-122,39,"39N_122W"
-121.5,39,"39N_121.5W"
-121,39,"39N_121W"
-120.5,39,"39N_120.5W"
-120,39,"39N_120W"
-124,39.5,"39.5N_124W"
-123.5,39.5,"39.5N_123.5W"
-123,39.5,"39.5N_123W"
-122.5,39.5,"39.5N_122.5W"
-122,39.5,"39.5N_122W"
-121.5,39.5,"39.5N_121.5W"
-121,39.5,"39.5N_121W"
-120.5,39.5,"39.5N_120.5W"
-120,39.5,"39.5N_120W"
-124,40,"40N_124W"
-123.5,40,"40N_123.5W"
-123,40,"40N_123W"
